Pre-Mold Training Data,,,,,,
Piece,Expired,Temperature (C),Gas (Ohms),Humidity (%),Pressure (hPa),Voltage
26,0,26.71,21985.57197,33.653,980.46,1.3499999999
26,0,26.7,20408.16327,33.914,980.46,1.4300000001
26,0,26.67,16610.43343,35.063,980.44,1.4400000000
26,0,26.64,15355.08637,36.876,980.43,1.4400000000
26,0,26.62,14801.11008,38.276,980.45,0.9700000000
26,0,26.58,13733.90558,39.684,980.45,1.3600000001
26,0,26.54,13533.5166,41.314,980.44,1.4400000000
26,0,26.51,13256.00663,42.733,980.45,1.4400000000
26,0,26.47,13439.73121,43.873,980.46,1.1899999999
26,0,26.43,13822.89417,44.623,980.48,1.4400000000
26,0,26.39,14143.64641,45.276,980.47,1.4400000000
26,0,26.36,14050.49396,45.844,980.48,1.4400000000
27,0,24.25,37350.45229,47.9,980.5,1.0899999999
27,0,24.25,10589.0139,49.776,980.5,1.0800000000
27,0,24.26,13490.72513,50.806,980.49,0.9999999999
27,0,24.27,14050.49396,50.748,980.49,1.1100000000
27,0,24.28,13149.78426,51.036,980.48,1.1700000001
27,0,24.29,14499.32034,50.982,980.52,1.1899999999
27,0,24.29,16293.27902,50.053,980.51,1.1600000000
27,0,24.3,17625.99835,49.428,980.5,0.9800000001
27,0,24.3,17510.25992,49.258,980.5,1.0800000000
27,0,24.3,17269.29304,49.52,980.49,1.1300000000
27,0,24.3,18545.34917,49.725,980.5,1.0800000000
27,0,24.29,21199.07254,49.228,980.5,1.1300000000
27,0,24.29,21917.80822,48.356,980.51,1.1500000001
27,0,24.29,23029.86686,47.448,980.47,1.1899999999
27,0,24.28,23686.1584,46.668,980.48,1.1800000000
28,0,24.11,61025.0298,47.166,980.5,1.4500000001
28,0,24.12,13725.0697,48.963,980.48,1.2099999999
28,0,24.13,14883.72093,50.196,980.48,1.3000000000
28,0,24.15,20846.90554,49.206,980.5,1.7299999999
28,0,24.17,25963.48884,46.719,980.5,1.2300000000
28,0,24.18,26058.63192,44.797,980.48,1.2099999999
28,0,24.19,28648.16473,43.343,980.48,1.2900000001
28,0,24.21,30317.38513,41.85,980.46,1.1500000001
28,0,24.22,28082.49232,40.583,980.46,1.2200000001
28,0,24.23,30754.44498,39.813,980.47,1.1399999999
28,0,24.24,33507.8534,38.738,980.45,1.2000000000
28,0,24.26,35904.62833,37.712,980.45,1.1300000000
28,0,24.27,39421.004,36.727,980.44,1.1600000000
